UM,REPORT
business,"This work grew from initiatives of the International Society of Biometeorology's Commission on Climate, Tourism and Recreation (ISBCCTR). The ISBCCTR was formed during the 15th Congress of the ISB held in November 1999 in Sydney, Australia. The aim of ISBCCTR is to promote research in tourism climatology. The first formal meeting of the Commission took place at the Meliton Resort, Halkidiki, Greece, 5–10 October 2001. The aims were to (1) bring together a selection of scientists and tourism experts to review the current state of knowledge of tourism climatology and (2) explore areas and priorities for future work and the role of the Commission in this. The Workshop highlighted the fact that, although climate is widely recognised as vitally important to tourism, relatively little is known about its effects. Even less is known about the economic impact or significance of climate on commercial prospects for tourism. Important research themes that warrant attention were identified. Among these was the need for a tourism climate index (or indices) that integrates all facets of climate, uses standard data and is objectively tested and verified. Work is also required on developing a better understanding of what climate-related information is required by both tourists and the tourism industry, exploring the distinction between the impact of climate on tourists and the impact on the tourism industry, setting a standard approach to tourism climate assessment, assessing the role of weather forecasts and long-term expectations of climate on choices made by tourists, the risks to tourism caused by extreme atmospheric events, what climate-related criteria people use to make decisions about tourism and recreational choices, how products giving information about weather and climate are currently used by the recreation and tourism industry and what are the existing and future requirements for this climate information.

"
social science,"Violent video games have been the subject of much news and analysis. One area of the debate, particularly in legal arenas, has been whether parents have or should have control over what games their children play. Despite such debates, only limited empirical research has examined whether parents actually do have influence over what games their children play or how much they play them. Using cross-sectional data from large-samples of American high-school and middle-school students, this study examines parental influences on violent video game play and the role of perceived parental opinion of violent video games. Results suggest that parental attachment and perceived parental opinion of video games play a significant role in the degree to which youth play violent games, even through later adolescence in high school."
science,"Mammography associated with clinical breast examination and breast self-examination is the only effective and viable method for mass breast screening. Most of the minimal breast cancers are detected by the presence of microcalcifications. It is however difficult to distinguish between benign and malignant microcalcifications associated with breast cancer. Most of the techniques used in the computerized analysis of mammographic microcalcifications segment the digitized grey-level image into regions representing microcalcifications. Since mammographic images usually suffer from poorly defined microcalcification features, the extraction of microcalcification features based on segmentation process is not reliable and accurate. We present a second-order grey-level histogram based feature extraction approach which does not require the segmentation of microcalcifications into binary regions to extract features to be used in classification. The image structure features, computed from the second-order grey-level histogram statistics, are used for classification of microcalcifications. Several image structure features were computed for 100 cases of “difficult to diagnose” microcalcification cases with known biopsy results. These features were analyzed in a correlation study which provided a set of five best image structure features. A feedforward backpropagation neural network was used to classify mammographic microcalcifications using the image structure features. Four networks were trained for different combinations of training and test cases, and number of nodes in hidden layers. False Positive (FP) and True Positive (TP) rates for microcalcification classification were computed to compare the performance of the trained networks. The results of the neural network based classification were compared with those obtained using multivariate Baye’s classifiers, and the k-nearest neighbor classifier. "
business,"The purpose of this article is to analyze the scope, content and nature of value co?creation in a service logic?based view of value creation, addressing the customer's perspective in a supplier?customer relationship. The nature of the activities and the roles of the supplier and the customer in value creation and co?creation are analyzed. Furthermore, the purpose is to discuss what implications for marketing can be derived from this analysis."
social science,"We examine how religious and political factors structure support for same-sex marriage in the United States over the last two decades. Using data from the General Social Surveys, we show that respondents who identify more strongly with the Republican Party, sectarian denominations, and those who subscribe to biblical fundamentalism and political conservatism are substantially more opposed to same-sex marriage than are other Americans. Heterogeneous ordinal logistic regression models show that these religious and political factors have become more important over the last two decades. Cohorts born after 1945 became substantially more supportive of marriage rights between 1988 and 2008, but shifts in support for marriage rights were less sizeable for persons affiliated with sectarian denominations, religious fundamentalists, Republicans, and political conservatives. Estimates from structural equation models show that religious factors influence political conservatism and Republican identification, yet both religious and political factors have significant and substantial independent direct effects on support for same-sex marriage."
science,"Neural network learning procedures and statistical classificaiton methods are applied and compared empirically in classification of multisource remote sensing and geographic data. Statistical multisource classification by means of a method based on Bayesian classification theory is also investigated and modified. The modifications permit control of the influence of the data sources involved in the classification process. Reliability measures are introduced to rank the quality of the data sources. The data sources are then weighted according to these rankings in the statistical multisource classification. Four data sources are used in experiments: Landsat MSS data and three forms of topographic data (elevation, slope, and aspect). Experimental results show that two different approaches have unique advantages and disadvantages in this classification application."
business,"The second edition of this book contains new updated material and added case studies illustrating the response of business and other organizations to environmental problems. The first section (4 chapters) provides background material related to ecology, environmental ethics, regulation and public policy of environmental management. The second section (7 chapters) discusses specific environmental issues such as global warming, ozone depletion, air and water pollution, use of pesticides, control of toxic substances, hazardous waste disposal, effects of deforestation, coastal erosion, and wetlands protection. All chapters link the issues to managerial practice. The third section (3 chapters) focuses on problems apparent in traditional approaches with respect to the natural environment, presents work that attempts to integrate the natural environment into theoretical aspects of management, addresses issues of manufacturing, marketing, strategies and communication and outlines strategies for the whole society related to sustainable development."
social science,"In 2005, the American Psychological Association (APA) issued an official brief on lesbian and gay parenting. This brief included the assertion: “Not a single study has found children of lesbian or gay parents to be disadvantaged in any significant respect relative to children of heterosexual parents” (p. 15). The present article closely examines this assertion and the 59 published studies cited by the APA to support it. Seven central questions address: (1) homogeneous sampling, (2) absence of comparison groups, (3) comparison group characteristics, (4) contradictory data, (5) the limited scope of children’s outcomes studied, (6) paucity of long-term outcome data, and (7) lack of APA-urged statistical power. The conclusion is that strong assertions, including those made by the APA, were not empirically warranted. Recommendations for future research are offered."
science,"We propose two efficient approximations to standard convolutional neural networks: Binary-Weight-Networks and XNOR-Networks. In Binary-Weight-Networks, the filters are approximated with binary values resulting in 32× memory saving. In XNOR-Networks, both the filters and the input to convolutional layers are binary. XNOR-Networks approximate convolutions using primarily binary operations. This results in 58× faster convolutional operations (in terms of number of the high precision operations) and 32× memory savings. XNOR-Nets offer the possibility of running state-of-the-art networks on CPUs (rather than GPUs) in real-time. Our binary networks are simple, accurate, efficient, and work on challenging visual tasks. We evaluate our approach on the ImageNet classification task. The classification accuracy with a Binary-Weight-Network version of AlexNet is the same as the full-precision AlexNet. We compare our method with recent network binarization methods, BinaryConnect and BinaryNets, and outperform these methods by large margins on ImageNet, more than 16% in top-1 accuracy."
business,"In his presentation at the 1993 Society of Business Ethics conference, Ed Freeman offered a provocative explanation for why the normative core of business and society (B&S) research is perceived as fundamentally at odds with the pervasive wisdom on business and the academic literature on management (e.g., ""business ethics is an oxymoron""). He termed this explanation the separation thesis. This article explores the possibility that the separation thesis captures a pervasively held view about corporations, even among B &S researchers. To support this claim, the author looks at whether three value dichotomies, which provide the conceptual underpinnings of the separation thesis, are prevalent in the literature. The article provides evidence from the literatures in ethics, corporate social responsibility/ performance, and wider management issues to support its claims, and then looks at alternative possibilities for developing inquiry to avoid the pitfalls of these value dichotomies and, therefore, the separation thesis.

"
social science,"Despite popular commentary claiming a link between immigration and crime, empirical research exploring this relationship is sparse. Especially missing from the literature on immigration and crime is a consideration of how immigration affects rates of crime at the macro-level. Although individual-level studies of immigrant criminality and victimization tend to demonstrate that immigrants typically engage in less crime than their native-born counterparts, the effect of immigration on aggregate criminal offending is less clear. In this research, we attempt to address this weakness in the literature by examining the effects of aspects of immigration on crime rates in metropolitan areas. We combine 2000 US Census data and 2000 Uniform Crime Report data to explore how the foreign-born population influences criminal offending across a sample of metropolitan areas. After controlling for a host of demographic and economic characteristics, we find that immigration does not increase crime rates, and some aspects of immigration lessen crime in metropolitan areas."
science,"It can be shown that by replacing the sigmoid activation function often used in neural networks with an exponential function, a neural network can be formed which computes nonlinear decision boundaries. This technique yields decision surfaces which approach the Bayes optimal under certain conditions. There is a continuous control of the linearity of the decision boundaries, from linear for small training sets to any degree of nonlinearity justified by larger training sets. A four-layer neural network of the type proposed can map any input pattern to any number of classifications. The input variables can be either continuous or binary. Modification of the decision boundaries based on new data can be accomplished in real time simply by defining a set of weights equal to the new training vector. The decision boundaries can be implemented using analog 'neurons', which operate entirely in parallel. The organization proposed takes into account the projected pin limitations of neural-net chips of the near future."
business,"This book discusses the issues of environmental management and techniques relevant to industry and is divided into 10 chapters: (1) introduction: the environmental challenge and business strategy; (2) the legislative framework; (3) environmental impact assessment: prevention is better than cure; (4) making a start: environmental policies, environmental reviews and the measurement of environmental performance; (5) linking quality and the environment: creating environmental management systems; (6) environmental auditing: monitoring continuous improvement; (7) waste minimization and life-cycle assessment: issues for product and process design; (8) communicating the difference: green marketing, packaging and eco-labelling; (9) small businesses and environmental management; a new model for development? (10) regional development and environmental management: new opportunities for cooperation."
social science,"Is wealthier always healthier, or are the health effects of economic growth trivial, irregular, or perhaps even detrimental? Using data for up to 134 developing countries between 1970 and 2015, this article revisits the effect of economic growth on health, focusing on infant mortality, life expectancy, and caloric consumption. The analysis enlarges the geographical and temporal scope of previous samples and attempts to isolate the causal effects of growth using two-stage models with instrumental variables. Results show that five-year economic growth rates improve all three health outcomes, even after controlling for other important determinants and accounting for the possibility of reverse causality. Growth effects are largest for infant mortality rates. Nevertheless, there are diminishing returns to economic growth as a function of economic development: as countries become more affluent, the benefits of growth for health diminish.

"
science,"Spatial features of hyperspectral imagery (HSI) have gained an increasing attention in the latest years. Considering deep convolutional neural network (CNN) can extract a hierarchy of increasingly spatial features, this paper proposes an HSI reconstruction model based on deep CNN to enhance spatial features. The framework proposes a new spatial features-based strategy for band selection to define training label with rich information for the first time. Then, hyperspectral data is trained by deep CNN to build a model with optimized parameters which is suitable for HSI reconstruction. Finally, the reconstructed image is classified by the efficient extreme learning machine (ELM) with a very simple structure. Experimental results indicate that framework built based on CNN and ELM provides competitive performance with small number of training samples. Specifically, by using the reconstructed image, the average accuracy of ELM can be improved as high as 30.04%, while performs tens to hundreds of times faster than those state-of-the-art classifiers."
business,"Online consumer groups represent a large pool of product know-how. Hence, they seem to be a promising source of innovation. At present, except for open source software, little is known about how to utilize this know-how for new product development. In this article we explore if and how members of virtual communities can be integrated into new product development. We explain how to identify and access online communities and how to interact with its members in order to get valuable input for new product development. This approach we term “Community Based Innovation.” The Audi case illustrates the applicability of the method and underscores the innovative capability of consumers encountered in virtual communities.

"
social science,"This paper examines the extent to which the black-white gap in happiness—an important indicator of subjective well-being—has narrowed over the 1972 to 2014 period. Analyzing data from the General Social Survey, we find that that the difference in levels of happiness between whites and blacks is substantial, but declined over time. Results from a decomposition analysis shed new light on the sources of change. We find that observable differences in characteristics of whites and blacks explain a significant and growing proportion of the happiness gap. The two most important characteristics are income and marital status, as both are strongly associated with race and happiness, and the proportion of the difference in the gap that they explain has generally increased over time. Overall, the declining gap in happiness is consistent with the moderate narrowing of substantial racial disparities in other realms, such as life expectancy, residential segregation, and neighborhood conditions, suggesting small steps toward equality in some realms, even as high levels of inequality persist in others."
science,"In this paper, we present bidirectional Long Short Term Memory (LSTM) networks, and a modified, full gradient version of the LSTM learning algorithm. We evaluate Bidirectional LSTM (BLSTM) and several other network architectures on the benchmark task of framewise phoneme classification, using the TIMIT database. Our main findings are that bidirectional networks outperform unidirectional ones, and Long Short Term Memory (LSTM) is much faster and also more accurate than both standard Recurrent Neural Nets (RNNs) and time-windowed Multilayer Perceptrons (MLPs). Our results support the view that contextual information is crucial to speech processing, and suggest that BLSTM is an effective architecture with which to exploit it.1"
business,"We investigate the problem of ranking all process models in a repository according to their similarity with respect to a given process model. We focus specifically on the application of graph matching algorithms to this similarity search problem. Since the corresponding graph matching problem is NP-complete, we seek to find a compromise between computational complexity and quality of the computed ranking. Using a repository of 100 process models, we evaluate four graph matching algorithms, ranging from a greedy one to a relatively exhaustive one. The results show that the mean average precision obtained by a fast greedy algorithm is close to that obtained with the most exhaustive algorithm.

"
social science,"This article highlights an important yet insufficiently understood international-level determinant of inequality in the developing world: structural adjustment programs by the International Monetary Fund (IMF). Studying a panel of 135 countries for the period 1980 to 2014, we examine income inequality using multivariate regression analysis corrected for non-random selection into both IMF programs and associated policy reforms (known as ‘conditionality’). We find that, overall, policy reforms mandated by the IMF increase income inequality in borrowing countries. We also test specific pathways linking IMF programs to inequality by disaggregating conditionality by issue area. Our analyses indicate adverse distributional consequences for four policy areas: fiscal policy reforms that restrain government expenditure, external sector reforms stipulating trade and capital account liberalization, financial sector reforms entailing inflation-control measures, and reforms that restrict external debt. These effects occur one year after the incidence of an IMF program, and persist in the medium term. Taken together, our findings suggest that the IMF's recent attention to inequality neglects the multiple ways through which the organization's own policy advice has contributed to inequality in the developing world."
science,The relationship between minimizing a mean squared error and finding the optimal Bayesian classifier is reviewed. This provides a theoretical interpretation for the process by which neural networks are used in classification. A number of confidence measures are proposed to evaluate the performance of the neural network classifier within a statistical framework
business,"This study investigates the possible funding gap for women–owned compared with men–owned new businesses. With longitudinal data from new businesses in Norway, gender differences in funding perceptions and behaviors, as well as in actually obtained amounts of funding, are explored. While there are few detected gender differences with respect to funding perceptions and behavior, women obtain significantly less financial capital to develop their new businesses. Moreover, the results indicate that the lower levels of financial capital that women business founders achieve are associated with lower early business growth compared with their male counterparts.

"
social science,"Since the late 1990s public opinion about cannabis legalization has become drastically more liberal, and some states have begun to legalize cannabis for recreational use. Why have attitudes changed so much? Prior research has considered a few of the reasons for this change, but this is the first comprehensive and empirically-based study to consider the wide range of potential causes for how and why this happened. We use data from the General Social Survey, National Study of Drug Use and Health, and word searches from the New York Times. We find that attitudes largely liberalized via intracohort changes. Most Americans developed more liberal views, regardless of their race and ethnicity, gender, education, religious or political affiliation, or religious engagement. Changes in cannabis use have had minimal effects on attitudes, and legalization of cannabis has not prompted attitude change in neighboring states. As to root causes, evidence suggests that a decrease in religious affiliation, a decline in punitiveness, and a shift in media framing all contributed to changing attitudes."
science,"We describe the approach that won the final phase of the German traffic sign recognition benchmark. Our method is the only one that achieved a better-than-human recognition rate of 99.46%. We use a fast, fully parameterizable GPU implementation of a Deep Neural Network (DNN) that does not require careful design of pre-wired feature extractors, which are rather learned in a supervised way. Combining various DNNs trained on differently preprocessed data into a Multi-Column DNN (MCDNN) further boosts recognition performance, making the system insensitive also to variations in contrast and illumination."
business,"This study compared beliefs in money, business ethics and social responsibility, and guanxi; and Machiavellian personality among youths in two Asian economies—Hong Kong and Singapore—and two Western economies—Canada and Hawaii. It found interesting variations across economies. The factors that influence how much one believes in the power of money also varied.

"
social science,"Immigrants and ethnic minorities tend to have lower life satisfaction than majority populations. However, current understanding of the drivers of these gaps is limited. Using a rich, nationally representative data set with a large sample of ethnic minorities and matched neighbourhood characteristics, we test whether first and second generation minorities experience lower life satisfaction once accounting for compositional differences and whether, specifically, neighbourhood deprivation impacts their wellbeing. We further investigate whether a larger proportion of own ethnic group in the neighbourhood improves satisfaction. We find life satisfaction is lower among ethnic minorities, and especially for the second generation, even controlling for individual and area characteristics. Neighbourhood concentration of own ethnic group is, however, associated with higher life satisfaction for Black Africans and UK born Indians and Pakistanis. The effect for Black Africans may stem from selection into areas, but findings for Indians and Pakistanis are robust to sensitivity tests."
science,"This paper presents the usage of an artificial neural network, Kohonen’s self organizing feature map, for visualisation and classification of high dimensional data. Through a learning process, this neural network creates a mapping from a N-dimensional space to a two-dimensional plane of units (neurons). This mapping is known to preserve topological relations of the N-dimensional space. A specially developed technique, called U-matrix method has been developed in order to detect nonlinearities in the resulting mapping. This method can be used to visualize structures of the N-dimensional space. Boundaries between different subsets of input data can be detectet. This allows to use this method for a clustering of the data. New data can be classified in an associative way. It has been demonstrated, that the method can be used also for knowledge acquisition and exploratory data analysis purposes."
business,"Entrepreneurial Orientation (EO) is often mentioned as an antecedent of growth, competitive advantage and superior performance, and prior empirical research has often shown a positive relationship between EO and performance appears to exist. However, an important question that remains unanswered is what effect EO might have on firm performance during periods of economic crisis, and the severe environmental turbulence that accompany such crises. This research is a first investigation towards the effects of EO on the performance of small and medium sized firms during the current global economic crisis. In this study we use the multidimensional model of EO and test a series of hypotheses pertaining to its performance effects using survey data gathered from 164 Dutch SMEs. The present research shows that proactive firm behavior positively contributes to SME performance during the economic crisis. We further show that innovative SMEs do perform better in turbulent environments, but those innovative SMEs should minimize the level of risk and should take action to avoid projects that are too risky.

"
social science,"Although many studies have examined associations between family structure and children’s educational achievement at the individual level, few studies have considered how the increase in single-parent households may have affected children’s educational achievement at the population level. We examined changes in the percentage of children living with single parents between 1990 and 2011 and state mathematics and reading scores on the National Assessment of Educational Progress. Regression models with state and year fixed effects revealed that changes in the percentage of children living with single parents were not associated with test scores. Increases in maternal education, however, were associated with improvements in children’s test scores during this period. These results do not support the notion that increases in single parenthood have had serious consequences for U.S. children’s school achievement."
science," We present a fast, fully parameterizable GPU implementation of Convolutional Neural Network variants. Our feature extractors are neither carefully designed nor pre-wired, but rather learned in a supervised way. Our deep hierarchical architectures achieve the best published results on benchmarks for object classification (NORB, CIFAR10) and handwritten digit recognition (MNIST), with error rates of 2.53%, 19.51%, 0.35%, respectively. Deep nets trained by simple back-propagation perform better than more shallow ones. Learning is surprisingly rapid. NORB is completely trained within five epochs. Test error rates on MNIST drop to 2.42%, 0.97% and 0.48% after 1, 3 and 17 epochs, respectively.


"
business,"Switching from the current linear model of economy to a circular one has recently attracted increased attention from major global companies e.g., Google, Unilever, Renault, and policymakers attending the World Economic Forum. The reasons for this are the huge financial, social and environmental benefits. However, the global shift from one model of economy to another also concerns smaller companies on a micro-level. Thus, comprehensive knowledge on designing circular business models is needed to stimulate and foster implementation of the circular economy. Existing business models for the circular economy have limited transferability and there is no comprehensive framework supporting every kind of company in designing a circular business model. This study employs a literature review to identify and classify the circular economy characteristics according to a business model structure. The investigation in the eight sub-domains of research on circular business models was used to redefine the components of the business model canvas in the context of the circular economy. Two new components—the take-back system and adoption factors—have been identified, thereby leading to the conceptualization of an extended framework for the circular business model canvas. Additionally, the triple fit challenge has been recognized as an enabler of the transition towards a circular business model. Some directions for further research have been outlined, as well. View Full-Text
"
social science,"The New Family Structures Study (NFSS) is a social-science data-collection project that fielded a survey to a large, random sample of American young adults (ages 18–39) who were raised in different types of family arrangements. In this debut article of the NFSS, I compare how the young-adult children of a parent who has had a same-sex romantic relationship fare on 40 different social, emotional, and relational outcome variables when compared with six other family-of-origin types. The results reveal numerous, consistent differences, especially between the children of women who have had a lesbian relationship and those with still-married (heterosexual) biological parents. The results are typically robust in multivariate contexts as well, suggesting far greater diversity in lesbian-parent household experiences than convenience-sample studies of lesbian families have revealed. The NFSS proves to be an illuminating, versatile dataset that can assist family scholars in understanding the long reach of family structure and transitions."
science,"Many real-world sequence learning tasks require the prediction of sequences of labels from noisy, unsegmented input data. In speech recognition, for example, an acoustic signal is transcribed into words or sub-word units. Recurrent neural networks (RNNs) are powerful sequence learners that would seem well suited to such tasks. However, because they require pre-segmented training data, and post-processing to transform their outputs into label sequences, their applicability has so far been limited. This paper presents a novel method for training RNNs to label unsegmented sequences directly, thereby solving both problems. An experiment on the TIMIT speech corpus demonstrates its advantages over both a baseline HMM and a hybrid HMM-RNN."
business,"This editorial suggests moving beyond relying on the dominant logic of multiple regression analysis (MRA) toward thinking and using algorithms in advancing and testing theory in accounting, consumer research, finance, management, and marketing. The editorial includes an example of testing an MRA model for fit and predictive validity. The same data used for the MRA is used to conduct a fuzzy-set qualitative comparative analysis (fsQCA). The editorial reviews a number of insights by prominent scholars including Gerd Gigerenzer's treatise that “Scientists' tools are not neutral.” Tools impact thinking and theory crafting as well theory testing. The discussion may be helpful for early career scholars unfamiliar with David C. McClelland's brilliance in data analysis and in introducing business research scholars to fsQCA as an alternative tool for theory development and data analysis.

"
social science,"Annette Lareau coined the term “concerted cultivation” to describe the cultural logic of a distinctive middle-class parenting pattern. I explore whether concerted cultivation as practiced in Japan exhibits unique patterns in response to distinctive characteristics of the nation's education system (i.e., standardized compulsory education with high-stakes educational selection in secondary education). Using nationally representative longitudinal data on third-to sixth-grade children (N?=?30187) through growth curve models, I show that college educated parents shift their focus of parenting practices (measured by four aspects) from providing diverse experiences to narrower academic preparation as the time for lower secondary education approaches. Using multivariate analyses with an additional wave of data in seventh grade, I further demonstrate that “unequal childhoods,”––the accumulated disparities in adult-led structured experiences––lead to unequal success in the transition to junior high school education, a critical period of preparation before the mass educational selection (i.e., high school admissions)."
science,"The authors report the application of three-layer back-propagation networks for classification of Landsat TM data on a pixel-by-pixel basis. The results are compared to Gaussian maximum likelihood classification. First, it is shown that the neural network is able to perform better than the maximum likelihood classifier. Secondly, in an extension of the basic network architecture it is shown that textural information can be integrated into the neural network classifier without the explicit definition of a texture measure. Finally, the use of neural networks for postclassification smoothing is examined"
business,"The innovation-driven multinational enterprise (MNE) has dominated international business (IB) research for several decades now. Beginning with the award-winning research of Dunning, there have been calls for IB researchers to rediscover the importance of locations. Recent work has emphasized that firms and locations co-evolve with one another, as knowledge is transferred and leveraged across space. Integrating insights from IB and economic geography, we propose a research agenda for IB scholarship on spatially dispersed yet connected innovation processes. This agenda is premised on the current reality of global value chains in which mobile (MNEs, people) and immobile (locations) factors interact. The research perspective suggested recognizes that locations are host to increasingly “fine-sliced” activities, whose nature and composition are continuously changed by MNE-driven innovation processes. As today’s specialized activities become tomorrow’s standardized ones, the shifting distribution of global value creation depends on the pattern of international knowledge connectivity.

"
social science,"The term big data is currently a buzzword in social science, however its precise meaning is ambiguous. In this paper we focus on administrative data which is a distinctive form of big data. Exciting new opportunities for social science research will be afforded by new administrative data resources, but these are currently under appreciated by the research community. The central aim of this paper is to discuss the challenges associated with administrative data. We emphasise that it is critical for researchers to carefully consider how administrative data has been produced. We conclude that administrative datasets have the potential to contribute to the development of high-quality and impactful social science research, and should not be overlooked in the emerging field of big data."
science,"The suitability of a back-propagation neural network for classification of multispectral image data is explored. A methodology is developed for selection of both training parameters and data sets for the training phase. A new technique is also developed to accelerate the learning phase. To benchmark the network, the results are compared to those obtained using three other algorithms: a statistical contextual technique, a supervised piecewise linear classifier, and an unsupervised multispectral clustering algorithm. All three techniques were applied to simulated and real satellite imagery. Results from the classification of both Monte Carlo simulation and real imagery are summarized."
business,"This book has its origins in a meeting of scientists, social scientists, policy makers and political activists held in Malaysia in 1994, and which was attended by the author, who is Reader in Biology at the Open University in the UK. In the author's own words, she learned at the meeting how the dominant reductionist scientific world-view of the West was destroying the earth, creating poverty and suffering for vast numbers of people. The book argues that genetic engineering is bad science working together with big business for quick profit, against the public good, against public will and aspirations, against the moral values of society and the world community. The author advocates the imposition of an immediate moratorium on further releases and marketing of genetically engineered products, pending a public inquiry into the hazards and risks of genetic engineering biotechnology that takes into account scientific findings and their social and moral implications. In the course of developing its theme, the book ranges from criticism of Mendelism, neo-Darwinism and basic quantitative genetics theory, to embryo cloning and transgenesis. The text should be accessible to the informed general reader."
social science,"Hurricane Katrina pounded the Gulf South at the end of August 2005, devastating lives and raising questions about how race and class influence human, as well as institutional, responses to disaster. This study uses survey data collected from over 1200 Hurricane Katrina survivors to examine these influences on a wide array of responses, ranging from evacuation timing and emotional support to housing and employment situations and plans to return to pre-storm communities. Results reveal strong racial and class differences, indicating that neither of these dimensions can be reduced to the other when seeking to understand responses by survivors themselves. This intersection renders low-income black home owners from New Orleans those most in need of targeted assistance as residents work to put themselves and the region back together.

"
science,"In this paper, we employ probabilistic neural network (PNN) with image and data processing techniques to implement a general purpose automated leaf recognition for plant classification. 12 leaf features are extracted and orthogonalized into 5 principal variables which consist the input vector of the PNN. The PNN is trained by 1800 leaves to classify 32 kinds of plants with an accuracy greater than 90%. Compared with other approaches, our algorithm is an accurate artificial intelligence approach which is fast in execution and easy in implementation."
social science,"In this paper we use new data on Danish monozygotic (MZ) twins to analyze the effect of cultural capital on educational success. We report three main findings. First, cultural capital has a positive direct effect on the likelihood of completing the college-bound track in Danish secondary education. Second, cultural capital leads teachers to form upwardly biased perceptions of children's academic ability, but only when their exposure to children's cultural capital is brief (as in oral and written exams) rather than long (as in grades awarded at the end of the school year). Third, we find that the positive direct effect of cultural capital on educational success is higher for children from high-socioeconomic status (SES) backgrounds than for those from low-SES backgrounds. This result suggests that high-SES children are more likely to be in schooling contexts that enable them to convert cultural capital into educational success."
science,"Methods are presented for adaptively generating wavelet templates for signal representation and classification using neural networks. Different network structures and energy functions are necessary and are given for representation and classification. The idea is introduced of a ""super-wavelet,"" a linear combination of wavelets that itself is treated as a wavelet. The super-wavelet allows the shape of the wavelet to adapt to a particular problem, which goes beyond adapting parameters of a fixed-shape wavelet. Simulations are given for 1-D signals, with the concepts extendable to imagery. Ideas are discussed for applying the concepts in the paper to phoneme and speaker recognition"
social science,"Across the globe, the debate over homosexuality continues, with great variation in public opinion about the acceptability of homosexuality, laws regulating same-sex unions and penalties for homosexual sex behaviors. Religion is often seen as an important predictor of attitudes about homosexuality. However, cross-national differences in cultural orientations suggest that the role religion has in explaining homosexual attitudes may depend on a nation’s cultural context. In this study, we merge ideas from cultural sociology and religious contextual effects to explain cross-national variation in public opinion about homosexuality. Using data from the fourth wave of the World Values Survey and Hierarchical Modeling techniques, we find support for the micro and macro effects of religion and a survival vs. self-expressive cultural orientation. Moreover, we find that personal religious beliefs have a greater effect on attitudes about homosexuality in countries like the United States, which have a strong self-expressive cultural orientation.

"
science,"In this paper, a prototype wavelet-based neural-network classifier for recognizing power-quality disturbances is implemented and tested under various transient events. The discrete wavelet transform (DWT) technique is integrated with the probabilistic neural-network (PNN) model to construct the classifier. First, the multiresolution-analysis technique of DWT and the Parseval's theorem are employed to extract the energy distribution features of the distorted signal at different resolution levels. Then, the PNN classifies these extracted features to identify the disturbance type according to the transient duration and the energy features. Since the proposed methodology can reduce a great quantity of the distorted signal features without losing its original property, less memory space and computing time are required. Various transient events tested, such as momentary interruption, capacitor switching, voltage sag/swell, harmonic distortion, and flicker show that the classifier can detect and classify different power disturbance types efficiently."
social science,"Workplace diversity policies are more effective when they are supported by managers and workers, but there is little direct evidence on how people feel about these policies or why they hold certain opinions. In this study, we analyze data from a survey experiment designed to assess public opinion about a range of workplace diversity policies. We examine how support for these policies among employed respondents varies by race, gender, and by the targeted population (i.e. whether the policies aim to improve the workplace representation of women or racial minorities). Using OLS regression models to analyze a diverse sample of employed persons participating in the survey, we find that women, blacks, and Latina/os are more supportive of diversity policies than men and whites, and a substantial portion of these gender/race differences can be explained by group-differences in the belief that discrimination causes inequality. In addition, we find that respondents report lower levels of support for workplace policies when these policies are framed as a mechanism to increase diversity than when they are framed as being needed to address discrimination or if no justification is given for the policy. Our findings highlight the role of inequality beliefs in shaping worker support for diversity policies, suggesting directions for future research on how such beliefs are developed."
science,"Channel sensing and spectrum allocation has long been of interest as a prospective addition to cognitive radios for wireless communications systems occupying license-free bands. Conventional approaches to cyclic spectral analysis have been proposed as a method for classifying signals for applications where the carrier frequency and bandwidths are unknown, but is, however, computationally complex and requires a significant amount of observation time for adequate performance. Neural networks have been used for signal classification, but only for situations where the baseband signal is present. By combining these techniques a more efficient and reliable classifier can be developed where a significant amount of processing is performed offline, thus reducing online computation. In this paper we take a renewed look at signal classification using spectral coherence and neural networks, the performance of which is characterized by Monte Carlo simulations"
social science,"This paper tests two competing explanations of differences in returns to cultural capital across schooling environments: Cultural reproduction (cultural capital yields a higher returns in high-achieving environments than in low-achieving ones) and cultural mobility (cultural capital yields higher returns in low-achieving environments). Using multilevel mixture models, empirical results from analyses based on PISA data from three countries (Canada, Germany, and Sweden) show that returns to cultural capital tend to be higher in low-achieving schooling environments than in high-achieving ones. These results principally support the cultural mobility explanation and suggest that research should pay explicit attention to the institutional contexts in which cultural capital is converted into educational success."
science,"In this paper, an adequate set of input features is selected for functional expansion genetically for the purpose of solving the problem of classification in data mining using functional link neural network. The proposed method named as HFLNN aims to choose an optimal subset of input features by eliminating features with little or no predictive information and designs a more compact classifier. With an adequate set of basis functions, HFLNN overcomes the non-linearity of problems, which is a common phenomenon in single layer neural networks. The properties like simplicity of the architecture (i.e., no hidden layer) and the low computational complexity of the network (i.e., less number of weights to be learned) encourage us to use it in classification task of data mining. We present a mathematical analysis of the stability and convergence of the proposed method. Further the issue of statistical tests for comparison of algorithms on multiple datasets, which is even more essential in data mining studies, has been all but ignored. In this paper, we recommend a set of simple, yet safe, robust and non-parametric tests for statistical comparisons of the HFLNN with functional link neural network (FLNN) and radial basis function network (RBFN) classifiers over multiple datasets by an extensive set of simulation studies."
